,Date,City,Country,Latitude,Longitude,Humidity(%),Cloudiness(%),Max Temp(F),Wind Speed(mph)
0,1644816152,Mar del Plata,AR,-38.0023,-57.5575,77,0,59.88,5.75
1,1644816115,Ushuaia,AR,-54.8,-68.3,81,75,38.86,8.05
2,1644816152,Ouango,CF,4.3133,22.5552,38,77,71.53,1.5
3,1644816152,Saskylakh,RU,71.9167,114.0833,95,21,-13.95,4.23
4,1644816152,Balkanabat,TM,39.5108,54.3671,60,8,38.71,4.47
5,1644816152,Puerto Ayora,EC,-0.7393,-90.3518,94,96,73.54,2.62
6,1644816152,Saint Paul Harbor,US,57.79,-152.4072,86,0,29.71,4.61
7,1644816153,Albany,US,42.6001,-73.9662,68,33,18.27,3.0
8,1644816153,Lander,US,42.833,-108.7307,32,0,38.52,0.0
9,1644816153,Vardø,NO,70.3705,31.1107,76,100,21.88,13.4
10,1644816153,Taft,IR,31.7471,54.2088,46,0,44.55,0.0
11,1644816153,Mackenzie,CA,55.2999,-123.1698,80,100,30.42,2.3
12,1644816154,Cape Town,ZA,-33.9258,18.4232,77,0,69.12,9.22
13,1644816154,Atlantic Beach,US,30.3344,-81.3987,41,0,50.02,12.66
14,1644816154,Xining,CN,36.6167,101.7667,45,34,28.11,4.27
15,1644816154,Ponta do Sol,PT,32.6667,-17.1,73,95,61.72,1.01
16,1644816154,Port Lincoln,AU,-34.7333,135.8667,67,15,72.68,11.74
17,1644816155,Constitución,CL,-35.3333,-72.4167,90,73,58.21,0.38
18,1644816155,Tiksi,RU,71.6872,128.8694,89,25,-10.44,8.9
19,1644816155,Busselton,AU,-33.65,115.3333,40,0,93.04,0.83
20,1644815962,Castro,BR,-24.7911,-50.0119,91,75,63.5,1.25
21,1644816024,Celestún,MX,20.8667,-90.4,68,98,69.8,16.87
22,1644816156,Pisco,PE,-13.7,-76.2167,77,0,68.05,4.61
23,1644816156,Bredasdorp,ZA,-34.5322,20.0403,83,100,68.29,10.36
24,1644816156,Havelock,US,34.8791,-76.9013,84,100,40.98,5.01
25,1644815979,Hasaki,JP,35.7333,140.8333,55,100,48.29,24.63
26,1644816156,Kyabé,TD,9.4515,18.9449,18,100,73.58,4.9
27,1644816144,Punta Arenas,CL,-53.15,-70.9167,57,40,44.71,13.8
28,1644816157,Kapaa,US,22.0752,-159.319,72,40,73.38,12.66
29,1644816157,Makakilo City,US,21.3469,-158.0858,58,0,71.92,11.5
30,1644816158,Egvekinot,RU,66.3167,-179.1667,90,12,-19.3,7.72
31,1644816158,Chokurdakh,RU,70.6333,147.9167,99,81,-9.13,9.04
32,1644816158,Lompoc,US,34.6391,-120.4579,97,100,69.13,3.44
33,1644816144,Lebu,CL,-37.6167,-73.65,92,97,56.03,5.86
34,1644816159,Pevek,RU,69.7008,170.3133,98,100,-16.96,7.81
35,1644815921,Alushta,UA,44.6667,34.4167,62,100,36.72,9.57
